# Region type : patch inlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
1             	(3.361805e+01 2.407446e-09 0.000000e+00)	1.045432e+05
1.05          	(3.356581e+01 2.182108e-09 0.000000e+00)	1.044224e+05
1.1           	(3.350817e+01 1.962994e-09 0.000000e+00)	1.042930e+05
1.15          	(3.344450e+01 1.749000e-09 0.000000e+00)	1.042042e+05
1.2           	(3.337706e+01 1.551507e-09 0.000000e+00)	1.041086e+05
1.25          	(3.330591e+01 1.359139e-09 0.000000e+00)	1.040363e+05
1.3           	(3.323175e+01 1.170675e-09 0.000000e+00)	1.039972e+05
1.35          	(3.315703e+01 9.934611e-10 0.000000e+00)	1.039426e+05
1.4           	(3.308183e+01 8.223174e-10 0.000000e+00)	1.039048e+05
1.45          	(3.300714e+01 6.623898e-10 0.000000e+00)	1.038863e+05
1.5           	(3.293505e+01 5.087382e-10 0.000000e+00)	1.038511e+05
1.55          	(3.286509e+01 3.594293e-10 0.000000e+00)	1.038498e+05
1.6           	(3.279883e+01 2.176612e-10 0.000000e+00)	1.038625e+05
1.65          	(3.273811e+01 8.028498e-11 0.000000e+00)	1.038581e+05
1.7           	(3.268276e+01 -4.366527e-11 0.000000e+00)	1.038719e+05
1.75          	(3.263410e+01 -1.713685e-10 0.000000e+00)	1.038854e+05
1.8           	(3.259271e+01 -2.908271e-10 0.000000e+00)	1.039029e+05
1.85          	(3.255895e+01 -4.045410e-10 0.000000e+00)	1.039318e+05
1.9           	(3.253379e+01 -5.129989e-10 0.000000e+00)	1.039553e+05
1.95          	(3.251716e+01 -6.179324e-10 0.000000e+00)	1.039883e+05
2             	(3.250910e+01 -7.159066e-10 0.000000e+00)	1.040363e+05
2.05          	(3.251080e+01 -8.114731e-10 0.000000e+00)	1.040634e+05
2.1           	(3.252127e+01 -9.025571e-10 0.000000e+00)	1.041012e+05
2.15          	(3.254038e+01 -9.891077e-10 0.000000e+00)	1.041485e+05
2.2           	(3.256835e+01 -1.074274e-09 0.000000e+00)	1.041879e+05
2.25          	(3.260398e+01 -1.150784e-09 0.000000e+00)	1.042456e+05
2.3           	(3.264772e+01 -1.228085e-09 0.000000e+00)	1.042884e+05
2.35          	(3.269893e+01 -1.302332e-09 0.000000e+00)	1.043162e+05
2.4           	(3.275626e+01 -1.370077e-09 0.000000e+00)	1.043494e+05
2.45          	(3.281888e+01 -1.437057e-09 0.000000e+00)	1.043879e+05
2.5           	(3.288619e+01 -1.502125e-09 0.000000e+00)	1.044213e+05
2.55          	(3.295689e+01 -1.561344e-09 0.000000e+00)	1.044612e+05
2.6           	(3.303088e+01 -1.620934e-09 0.000000e+00)	1.044769e+05
2.65          	(3.310667e+01 -1.676732e-09 0.000000e+00)	1.044839e+05
2.7           	(3.318272e+01 -1.730725e-09 0.000000e+00)	1.044984e+05
2.75          	(3.325842e+01 -1.781680e-09 0.000000e+00)	1.045062e+05
2.8           	(3.333256e+01 -1.830862e-09 0.000000e+00)	1.045127e+05
2.85          	(3.340406e+01 -1.877592e-09 0.000000e+00)	1.045211e+05
2.9           	(3.347271e+01 -1.922301e-09 0.000000e+00)	1.045047e+05
2.95          	(3.353697e+01 -1.965921e-09 0.000000e+00)	1.044855e+05
3             	(3.359585e+01 -2.006592e-09 0.000000e+00)	1.044685e+05
3.05          	(3.364880e+01 -2.046137e-09 0.000000e+00)	1.044459e+05
3.1           	(3.369494e+01 -2.083742e-09 0.000000e+00)	1.044248e+05
3.15          	(3.373383e+01 -2.119006e-09 0.000000e+00)	1.043992e+05
3.2           	(3.376531e+01 -2.154566e-09 0.000000e+00)	1.043579e+05
3.25          	(3.378847e+01 -2.187031e-09 0.000000e+00)	1.043184e+05
3.3           	(3.380306e+01 -2.218902e-09 0.000000e+00)	1.042798e+05
3.35          	(3.380897e+01 -2.248704e-09 0.000000e+00)	1.042401e+05
3.4           	(3.380602e+01 -2.279327e-09 0.000000e+00)	1.042030e+05
3.45          	(3.379450e+01 -2.305939e-09 0.000000e+00)	1.041603e+05
3.5           	(3.377460e+01 -2.333150e-09 0.000000e+00)	1.041111e+05
