# Region type : patch inlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
0.05          	(3.127202e+01 1.076797e-08 0.000000e+00)	1.693713e+05
0.1           	(3.219042e+01 7.866714e-09 0.000000e+00)	1.420106e+05
0.15          	(3.263124e+01 8.369781e-09 0.000000e+00)	1.298327e+05
0.2           	(3.289165e+01 7.864969e-09 0.000000e+00)	1.234601e+05
0.25          	(3.309656e+01 7.340872e-09 0.000000e+00)	1.187681e+05
0.3           	(3.324879e+01 6.993320e-09 0.000000e+00)	1.156642e+05
0.35          	(3.336822e+01 6.487444e-09 0.000000e+00)	1.134638e+05
0.4           	(3.346599e+01 6.210298e-09 0.000000e+00)	1.117707e+05
0.45          	(3.354990e+01 5.718876e-09 0.000000e+00)	1.102993e+05
0.5           	(3.362014e+01 5.415803e-09 0.000000e+00)	1.090281e+05
0.55          	(3.367504e+01 4.972612e-09 0.000000e+00)	1.080013e+05
0.6           	(3.371112e+01 4.672375e-09 0.000000e+00)	1.073302e+05
0.65          	(3.373879e+01 4.398978e-09 0.000000e+00)	1.066484e+05
0.7           	(3.375276e+01 4.048050e-09 0.000000e+00)	1.061365e+05
0.75          	(3.375382e+01 3.741239e-09 0.000000e+00)	1.057680e+05
0.8           	(3.374655e+01 3.464081e-09 0.000000e+00)	1.053884e+05
0.85          	(3.372699e+01 3.175749e-09 0.000000e+00)	1.051436e+05
0.9           	(3.369866e+01 2.905792e-09 0.000000e+00)	1.049235e+05
0.95          	(3.366274e+01 2.649753e-09 0.000000e+00)	1.047034e+05
