# Region type : patch inlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	sum(phi)
1             	-1.512814e-04
1.05          	-1.510464e-04
1.1           	-1.507870e-04
1.15          	-1.505004e-04
1.2           	-1.501969e-04
1.25          	-1.498768e-04
1.3           	-1.495431e-04
1.35          	-1.492068e-04
1.4           	-1.488684e-04
1.45          	-1.485323e-04
1.5           	-1.482079e-04
1.55          	-1.478931e-04
1.6           	-1.475949e-04
1.65          	-1.473217e-04
1.7           	-1.470726e-04
1.75          	-1.468537e-04
1.8           	-1.466674e-04
1.85          	-1.465155e-04
1.9           	-1.464023e-04
1.95          	-1.463274e-04
2             	-1.462912e-04
2.05          	-1.462988e-04
2.1           	-1.463459e-04
2.15          	-1.464319e-04
2.2           	-1.465578e-04
2.25          	-1.467181e-04
2.3           	-1.469150e-04
2.35          	-1.471455e-04
2.4           	-1.474034e-04
2.45          	-1.476852e-04
2.5           	-1.479881e-04
2.55          	-1.483062e-04
2.6           	-1.486392e-04
2.65          	-1.489803e-04
2.7           	-1.493225e-04
2.75          	-1.496631e-04
2.8           	-1.499968e-04
2.85          	-1.503185e-04
2.9           	-1.506275e-04
2.95          	-1.509166e-04
3             	-1.511816e-04
3.05          	-1.514199e-04
3.1           	-1.516275e-04
3.15          	-1.518025e-04
3.2           	-1.519441e-04
3.25          	-1.520484e-04
3.3           	-1.521140e-04
3.35          	-1.521406e-04
3.4           	-1.521273e-04
3.45          	-1.520754e-04
3.5           	-1.519859e-04
3.55          	-1.518587e-04
3.6           	-1.516954e-04
3.65          	-1.514985e-04
3.7           	-1.512704e-04
3.75          	-1.510151e-04
3.8           	-1.507356e-04
3.85          	-1.504348e-04
3.9           	-1.501170e-04
3.95          	-1.497864e-04
4             	-1.494477e-04
4.05          	-1.491062e-04
4.1           	-1.487659e-04
4.15          	-1.484310e-04
4.2           	-1.481065e-04
4.25          	-1.477967e-04
4.3           	-1.475064e-04
4.35          	-1.472402e-04
4.4           	-1.470010e-04
4.45          	-1.467920e-04
4.5           	-1.466166e-04
