# Region type : patch inlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.05          	-1.407249e-04
0.1           	-1.448574e-04
0.15          	-1.468410e-04
0.2           	-1.480128e-04
0.25          	-1.489348e-04
0.3           	-1.496198e-04
0.35          	-1.501573e-04
0.4           	-1.505972e-04
0.45          	-1.509748e-04
0.5           	-1.512909e-04
0.55          	-1.515379e-04
0.6           	-1.517003e-04
0.65          	-1.518248e-04
0.7           	-1.518877e-04
0.75          	-1.518924e-04
0.8           	-1.518597e-04
0.85          	-1.517716e-04
0.9           	-1.516442e-04
0.95          	-1.514825e-04
