# Region type : patch outlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
1             	(3.361447e+01 -9.450441e-07 0.000000e+00)	1.013477e+05
1.05          	(3.356126e+01 -1.388144e-06 0.000000e+00)	1.013477e+05
1.1           	(3.350248e+01 -1.159796e-06 0.000000e+00)	1.013477e+05
1.15          	(3.343814e+01 -1.043446e-06 0.000000e+00)	1.013477e+05
1.2           	(3.336991e+01 -7.899706e-07 0.000000e+00)	1.013477e+05
1.25          	(3.329823e+01 5.631787e-07 0.000000e+00)	1.013477e+05
1.3           	(3.322387e+01 -7.587742e-07 0.000000e+00)	1.013477e+05
1.35          	(3.314849e+01 -7.856458e-07 0.000000e+00)	1.013477e+05
1.4           	(3.307294e+01 3.160868e-07 0.000000e+00)	1.013477e+05
1.45          	(3.299798e+01 -5.783732e-07 0.000000e+00)	1.013477e+05
1.5           	(3.292542e+01 -3.759432e-07 0.000000e+00)	1.013477e+05
1.55          	(3.285535e+01 4.133621e-07 0.000000e+00)	1.013477e+05
1.6           	(3.278904e+01 -2.659599e-07 0.000000e+00)	1.013477e+05
1.65          	(3.272792e+01 -6.682360e-09 0.000000e+00)	1.013477e+05
1.7           	(3.267243e+01 -8.483933e-07 0.000000e+00)	1.013477e+05
1.75          	(3.262344e+01 6.779659e-08 0.000000e+00)	1.013477e+05
1.8           	(3.258182e+01 -1.933386e-07 0.000000e+00)	1.013477e+05
1.85          	(3.254792e+01 -3.742280e-07 0.000000e+00)	1.013477e+05
1.9           	(3.252238e+01 -6.120434e-07 0.000000e+00)	1.013477e+05
1.95          	(3.250556e+01 6.604277e-07 0.000000e+00)	1.013477e+05
2             	(3.249746e+01 -2.397349e-07 0.000000e+00)	1.013477e+05
2.05          	(3.249872e+01 -2.637675e-07 0.000000e+00)	1.013477e+05
2.1           	(3.250900e+01 1.161552e-07 0.000000e+00)	1.013477e+05
2.15          	(3.252813e+01 -3.932397e-07 0.000000e+00)	1.013477e+05
