# Region type : patch outlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
0.05          	(3.236535e+01 -2.014160e-05 0.000000e+00)	1.013476e+05
0.1           	(3.280796e+01 4.456633e-04 0.000000e+00)	1.013476e+05
0.15          	(3.292691e+01 -1.227341e-04 0.000000e+00)	1.013477e+05
0.2           	(3.311276e+01 -6.880217e-05 0.000000e+00)	1.013477e+05
0.25          	(3.325868e+01 -4.514175e-05 0.000000e+00)	1.013477e+05
0.3           	(3.337401e+01 -2.634672e-05 0.000000e+00)	1.013477e+05
0.35          	(3.346728e+01 -3.093230e-05 0.000000e+00)	1.013477e+05
0.4           	(3.354313e+01 -8.975938e-06 0.000000e+00)	1.013477e+05
0.45          	(3.360855e+01 -1.997147e-05 0.000000e+00)	1.013477e+05
0.5           	(3.366826e+01 2.106961e-05 0.000000e+00)	1.013477e+05
0.55          	(3.370697e+01 -2.263078e-06 0.000000e+00)	1.013477e+05
0.6           	(3.373671e+01 -1.761910e-05 0.000000e+00)	1.013477e+05
0.65          	(3.375583e+01 -6.774783e-06 0.000000e+00)	1.013477e+05
0.7           	(3.376452e+01 -5.235715e-06 0.000000e+00)	1.013477e+05
0.75          	(3.376169e+01 -3.581561e-06 0.000000e+00)	1.013477e+05
0.8           	(3.375060e+01 -2.927597e-06 0.000000e+00)	1.013477e+05
0.85          	(3.372880e+01 -2.331128e-06 0.000000e+00)	1.013477e+05
0.9           	(3.369835e+01 -1.631102e-06 0.000000e+00)	1.013477e+05
0.95          	(3.366048e+01 -1.833336e-06 0.000000e+00)	1.013477e+05
