# Region type : patch outlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	sum(phi)
1             	1.513240e-04
1.05          	1.510837e-04
1.1           	1.508183e-04
1.15          	1.505282e-04
1.2           	1.502204e-04
1.25          	1.498974e-04
1.3           	1.495624e-04
1.35          	1.492228e-04
1.4           	1.488826e-04
1.45          	1.485451e-04
1.5           	1.482181e-04
1.55          	1.479027e-04
1.6           	1.476042e-04
1.65          	1.473289e-04
1.7           	1.470791e-04
1.75          	1.468585e-04
1.8           	1.466711e-04
1.85          	1.465184e-04
1.9           	1.464034e-04
1.95          	1.463277e-04
2             	1.462913e-04
2.05          	1.462968e-04
2.1           	1.463430e-04
2.15          	1.464291e-04
2.2           	1.465542e-04
2.25          	1.467159e-04
2.3           	1.469125e-04
2.35          	1.471418e-04
2.4           	1.473996e-04
2.45          	1.476820e-04
2.5           	1.479853e-04
2.55          	1.483056e-04
2.6           	1.486381e-04
2.65          	1.489785e-04
2.7           	1.493214e-04
2.75          	1.496626e-04
2.8           	1.499973e-04
2.85          	1.503207e-04
2.9           	1.506294e-04
2.95          	1.509186e-04
3             	1.511842e-04
3.05          	1.514231e-04
3.1           	1.516317e-04
3.15          	1.518074e-04
3.2           	1.519488e-04
3.25          	1.520533e-04
3.3           	1.521193e-04
3.35          	1.521463e-04
3.4           	1.521336e-04
3.45          	1.520818e-04
3.5           	1.519921e-04
3.55          	1.518648e-04
3.6           	1.517017e-04
3.65          	1.515049e-04
3.7           	1.512770e-04
3.75          	1.510214e-04
3.8           	1.507414e-04
3.85          	1.504403e-04
3.9           	1.501221e-04
3.95          	1.497913e-04
4             	1.494523e-04
4.05          	1.491100e-04
4.1           	1.487689e-04
4.15          	1.484333e-04
4.2           	1.481081e-04
4.25          	1.477978e-04
4.3           	1.475068e-04
4.35          	1.472394e-04
4.4           	1.469993e-04
4.45          	1.467897e-04
4.5           	1.466138e-04
4.55          	1.464741e-04
4.6           	1.463726e-04
4.65          	1.463111e-04
4.7           	1.462902e-04
4.75          	1.463101e-04
4.8           	1.463706e-04
4.85          	1.464709e-04
4.9           	1.466097e-04
4.95          	1.467849e-04
5             	1.469938e-04
5.05          	1.472336e-04
5.1           	1.475006e-04
5.15          	1.477913e-04
5.2           	1.481015e-04
5.25          	1.484269e-04
5.3           	1.487627e-04
5.35          	1.491045e-04
5.4           	1.494474e-04
5.45          	1.497868e-04
5.5           	1.501180e-04
5.55          	1.504367e-04
5.6           	1.507385e-04
5.65          	1.510194e-04
5.7           	1.512756e-04
5.75          	1.515037e-04
5.8           	1.517009e-04
5.85          	1.518644e-04
5.9           	1.519923e-04
5.95          	1.520827e-04
6             	1.521344e-04
6.05          	1.521469e-04
6.1           	1.521201e-04
6.15          	1.520544e-04
6.2           	1.519505e-04
6.25          	1.518097e-04
6.3           	1.516339e-04
6.35          	1.514255e-04
6.4           	1.511872e-04
6.45          	1.509221e-04
6.5           	1.506338e-04
6.55          	1.503259e-04
6.6           	1.500026e-04
6.65          	1.496684e-04
6.7           	1.493277e-04
6.75          	1.489851e-04
6.8           	1.486453e-04
6.85          	1.483130e-04
6.9           	1.479927e-04
6.95          	1.476890e-04
7             	1.474062e-04
7.05          	1.471482e-04
7.1           	1.469189e-04
7.15          	1.467213e-04
7.2           	1.465584e-04
7.25          	1.464326e-04
7.3           	1.463456e-04
7.35          	1.462988e-04
7.4           	1.462928e-04
7.45          	1.463277e-04
7.5           	1.464030e-04
7.55          	1.465176e-04
7.6           	1.466700e-04
7.65          	1.468578e-04
7.7           	1.470784e-04
7.75          	1.473285e-04
7.8           	1.476047e-04
7.85          	1.479030e-04
7.9           	1.482193e-04
7.95          	1.485490e-04
8             	1.488875e-04
8.05          	1.492302e-04
8.1           	1.495724e-04
8.15          	1.499094e-04
8.2           	1.502365e-04
8.25          	1.505495e-04
8.3           	1.508441e-04
8.35          	1.511163e-04
8.4           	1.513626e-04
8.45          	1.515797e-04
8.5           	1.517649e-04
8.55          	1.519155e-04
8.6           	1.520298e-04
8.65          	1.521062e-04
8.7           	1.521436e-04
8.75          	1.521417e-04
8.8           	1.521006e-04
8.85          	1.520207e-04
8.9           	1.519031e-04
8.95          	1.517493e-04
9             	1.515612e-04
9.05          	1.513415e-04
9.1           	1.510930e-04
9.15          	1.508190e-04
9.2           	1.505230e-04
9.25          	1.502090e-04
9.3           	1.498813e-04
9.35          	1.495441e-04
9.4           	1.492022e-04
9.45          	1.488601e-04
9.5           	1.485225e-04
9.55          	1.481940e-04
9.6           	1.478793e-04
9.65          	1.475828e-04
9.7           	1.473086e-04
9.75          	1.470607e-04
9.8           	1.468426e-04
9.85          	1.466575e-04
9.9           	1.465079e-04
9.95          	1.463962e-04
10            	1.463238e-04
10.05         	1.462919e-04
10.1          	1.463009e-04
10.15         	1.463507e-04
10.2          	1.464406e-04
10.25         	1.465692e-04
10.3          	1.467348e-04
10.35         	1.469350e-04
10.4          	1.471668e-04
10.45         	1.474269e-04
10.5          	1.477117e-04
10.55         	1.480171e-04
10.6          	1.483387e-04
10.65         	1.486722e-04
10.7          	1.490128e-04
10.75         	1.493559e-04
10.8          	1.496967e-04
10.85         	1.500306e-04
10.9          	1.503531e-04
10.95         	1.506598e-04
11            	1.509466e-04
11.05         	1.512097e-04
11.1          	1.514457e-04
11.15         	1.516514e-04
11.2          	1.518242e-04
11.25         	1.519617e-04
