# Region type : patch outlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.05          	1.460346e-04
0.1           	1.479114e-04
0.15          	1.484438e-04
0.2           	1.492270e-04
0.25          	1.498448e-04
0.3           	1.503367e-04
0.35          	1.507373e-04
0.4           	1.510642e-04
0.45          	1.513461e-04
0.5           	1.516003e-04
0.55          	1.517689e-04
0.6           	1.518964e-04
0.65          	1.519770e-04
0.7           	1.520117e-04
0.75          	1.519961e-04
0.8           	1.519430e-04
0.85          	1.518430e-04
0.9           	1.517043e-04
0.95          	1.515322e-04
